Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,0.514949,0.461818,0.496162,0.465859,0.460202,0.472323,0.396768,0.526667,0.419798,0.492727,0.413535,0.503434,0.408081,0.496566,0.532323,0.520606,0.454949,0.469091,0.415556,0.488283,0.414545,0.514747,0.438990,0.546465,0.471717,0.491919,0.414747,0.468081,0.393939,0.492525,0.167273,0.499394,0.504646,0.483838,0.425051,0.465455,0.447475,0.502020,0.487879,0.342828,0.537172,0.455758,0.448889,0.448687,0.454141,0.433535,0.504040,0.491919,0.486263,0.517980
gpt-5-nano-low,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5-mini-none,0.511111,0.532323,0.440808,0.491313,0.413939,0.491313,0.449697,0.428485,0.448081,0.512525,0.462222,0.459394,0.474343,0.471717,0.501010,0.428081,0.438182,0.416364,0.462222,0.423838,0.468687,0.412121,0.473131,0.529293,0.477374,0.473131,0.489697,0.497172,0.490303,0.642222,0.200202,0.514949,0.476162,0.553737,0.460606,0.483838,0.369899,0.413535,0.512121,0.516970,0.503030,0.429293,0.488081,0.458182,0.561818,0.477980,0.476768,0.470101,0.523434,0.432323
gpt-5-mini-low,0.516566,0.436768,0.472525,0.502222,0.464040,0.390303,0.438788,0.505657,0.447677,0.524242,0.440404,0.444848,0.411313,0.386667,0.511313,0.486263,0.471313,0.407475,0.490101,0.485859,0.475354,0.454747,0.466465,0.498182,0.541818,0.479798,0.433535,0.534949,0.477980,0.568283,0.217576,0.539798,0.425657,0.520000,0.488485,0.495758,0.453535,0.503636,0.490101,0.443838,0.581212,0.447273,0.414545,0.551313,0.587677,0.435960,0.484040,0.487273,0.539394,0.516768
gpt-5.2-none,0.478788,0.554949,0.548687,0.541212,0.454949,0.552929,0.478788,0.544040,0.515556,0.497980,0.570303,0.509495,0.429495,0.562424,0.591313,0.437172,0.544444,0.517778,0.457980,0.458990,0.492121,0.457374,0.492323,0.427879,0.509899,0.596566,0.612525,0.548485,0.523636,0.673939,0.205051,0.531919,0.509899,0.481616,0.526061,0.463030,0.521212,0.517576,0.486667,0.462626,0.505455,0.525253,0.441414,0.419192,0.539596,0.522424,0.563030,0.446869,0.531313,0.442828
