Model,Mean,Std
gpt-5-nano-t1-1,0.067592,0.065715
gpt-5-nano-t1-2,-0.020735,0.080993
gpt-5-mini-t1-1,-0.032163,0.098577
gpt-5-mini-t1-2,-0.020735,0.115325
gpt-5.2-t1-1,0.094694,0.081911
gpt-5.2-t1-2,1.000000,0.000000
gpt-5.2-t0,0.070204,0.104212
