Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.111837,0.185306,0.188571,-0.144490,0.213061,0.173878,0.044898,0.224490,-0.072653,0.302857
gpt-5-nano-t1-2,-0.012245,0.031837,0.061224,-0.049796,0.031837,0.102041,0.095510,0.121633,0.131429,0.066122
gpt-5-mini-t1-1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5-mini-t1-2,0.075918,0.149388,0.075918,0.092245,0.213061,0.134694,-0.079184,0.102041,0.136327,0.195102
gpt-5.2-t1-1,-0.013878,0.033469,0.147755,-0.062857,0.244082,-0.232653,-0.281633,0.048163,0.193469,-0.043265
gpt-5.2-t1-2,-0.017143,0.008980,0.004082,-0.235918,0.134694,-0.149388,0.062857,-0.059592,-0.012245,-0.057959
gpt-5.2-t0,0.129796,-0.040000,-0.188571,-0.031837,-0.077551,-0.131429,-0.036735,0.102041,0.136327,-0.110204
