Model,Mean,Std
gpt-5-nano-t1-1,-0.006041,0.112686
gpt-5-nano-t1-2,-0.011102,0.079760
gpt-5-mini-t1-1,-0.024816,0.107070
gpt-5-mini-t1-2,-0.033306,0.094048
gpt-5.2-t1-1,0.092245,0.063581
gpt-5.2-t1-2,0.070204,0.104212
gpt-5.2-t0,1.000000,0.000000
