Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,-0.074286,0.098776,-0.115102,-0.121633,0.154286,0.196735,-0.044898,0.031837,-0.012245,0.013878
gpt-5-nano-t1-2,0.043265,0.118367,0.123265,-0.026939,-0.033469,-0.077551,-0.209796,0.105306,0.008980,0.035102
gpt-5-mini-t1-1,0.075918,0.149388,0.075918,0.092245,0.213061,0.134694,-0.079184,0.102041,0.136327,0.195102
gpt-5-mini-t1-2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5.2-t1-1,0.168980,0.028571,0.180408,0.087347,0.133061,-0.102041,0.059592,-0.072653,0.146122,-0.044898
gpt-5.2-t1-2,0.084082,-0.071020,-0.048163,-0.062857,0.010612,-0.044898,-0.147755,-0.098776,0.273469,-0.102041
gpt-5.2-t0,0.123265,-0.054694,-0.113469,0.079184,0.000816,-0.095510,-0.087347,-0.025306,0.046531,-0.206531
