Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.537143,0.450612,0.557551,0.560816,0.422857,0.401633,0.522449,0.484082,0.506122,0.493061
gpt-5-nano-t1-2,0.478367,0.440816,0.438367,0.513469,0.516735,0.538776,0.604898,0.447347,0.495510,0.482449
gpt-5-mini-t1-1,0.462041,0.425306,0.462041,0.453878,0.393469,0.432653,0.539592,0.448980,0.431837,0.402449
gpt-5-mini-t1-2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5.2-t1-1,0.415510,0.485714,0.409796,0.456327,0.433469,0.551020,0.470204,0.536327,0.426939,0.522449
gpt-5.2-t1-2,0.457959,0.535510,0.524082,0.531429,0.494694,0.522449,0.573878,0.549388,0.363265,0.551020
gpt-5.2-t0,0.438367,0.527347,0.556735,0.460408,0.499592,0.547755,0.543673,0.512653,0.476735,0.603265
