Model,Mean Kendall-Tau Distance,Std Kendall-Tau Distance
gpt-5-nano-none,0.465515,0.052838
gpt-5-nano-low,0.475786,0.059393
gpt-5-mini-none,0.439184,0.084290
gpt-5-mini-low,0.000000,0.000000
gpt-5.2-none,0.476085,0.092169
