Model,Mean Kendall Tau-b,Std Kendall Tau-b
gpt-5-nano-none,0.032485,0.119718
gpt-5-nano-low,-0.009002,0.134128
gpt-5-mini-none,0.079879,0.201313
gpt-5-mini-low,0.047830,0.184339
gpt-5.2-none,1.000000,0.000000
