Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,-0.227755,-0.110204,0.095510,-0.084082,0.120000,0.118367,0.165714,0.283265,0.113469,0.074286
gpt-5-nano-t1-2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5-mini-t1-1,-0.012245,0.031837,0.061224,-0.049796,0.031837,0.102041,0.095510,0.121633,0.131429,0.066122
gpt-5-mini-t1-2,0.043265,0.118367,0.123265,-0.026939,-0.033469,-0.077551,-0.209796,0.105306,0.008980,0.035102
gpt-5.2-t1-1,0.110204,0.110204,0.012245,-0.162449,-0.074286,0.054694,-0.049796,0.097143,0.043265,0.028571
gpt-5.2-t1-2,-0.033469,-0.110204,-0.079184,0.017143,0.012245,0.170612,0.043265,-0.108571,-0.064490,-0.054694
gpt-5.2-t0,-0.137959,-0.054694,-0.134694,0.028571,0.110204,0.048163,0.048163,-0.048163,0.061224,-0.031837
