Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.613878,0.555102,0.452245,0.542041,0.440000,0.440816,0.417143,0.358367,0.443265,0.462857
gpt-5-nano-t1-2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5-mini-t1-1,0.506122,0.484082,0.469388,0.524898,0.484082,0.448980,0.452245,0.439184,0.434286,0.466939
gpt-5-mini-t1-2,0.478367,0.440816,0.438367,0.513469,0.516735,0.538776,0.604898,0.447347,0.495510,0.482449
gpt-5.2-t1-1,0.444898,0.444898,0.493878,0.581224,0.537143,0.472653,0.524898,0.451429,0.478367,0.485714
gpt-5.2-t1-2,0.516735,0.555102,0.539592,0.491429,0.493878,0.414694,0.478367,0.554286,0.532245,0.527347
gpt-5.2-t0,0.568980,0.527347,0.567347,0.485714,0.444898,0.475918,0.475918,0.524082,0.469388,0.515918
