Model,Mean,Std
gpt-5-nano-t1-1,0.054857,0.143046
gpt-5-nano-t1-2,1.000000,0.000000
gpt-5-mini-t1-1,0.057959,0.055486
gpt-5-mini-t1-2,0.008653,0.097265
gpt-5.2-t1-1,0.016980,0.084298
gpt-5.2-t1-2,-0.020735,0.080993
gpt-5.2-t0,-0.011102,0.079760
