Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5-nano-low,0.514949,0.461818,0.496162,0.465859,0.460202,0.472323,0.396768,0.526667,0.419798,0.492727,0.413535,0.503434,0.408081,0.496566,0.532323,0.520606,0.454949,0.469091,0.415556,0.488283,0.414545,0.514747,0.438990,0.546465,0.471717,0.491919,0.414747,0.468081,0.393939,0.492525,0.167273,0.499394,0.504646,0.483838,0.425051,0.465455,0.447475,0.502020,0.487879,0.342828,0.537172,0.455758,0.448889,0.448687,0.454141,0.433535,0.504040,0.491919,0.486263,0.517980
gpt-5-mini-none,0.469697,0.448283,0.525253,0.527677,0.520606,0.448081,0.473131,0.398788,0.482020,0.501414,0.489091,0.563232,0.404444,0.454747,0.463232,0.487273,0.542020,0.534747,0.430505,0.510505,0.465051,0.545859,0.455960,0.447475,0.486465,0.464444,0.535960,0.536566,0.457576,0.500000,0.168283,0.473737,0.525859,0.542626,0.458586,0.453939,0.432727,0.427475,0.486465,0.445253,0.548889,0.432929,0.520808,0.477778,0.499596,0.420202,0.489495,0.443636,0.501414,0.484444
gpt-5-mini-low,0.423030,0.480000,0.455960,0.539394,0.452727,0.459394,0.404848,0.367677,0.465859,0.510303,0.481818,0.450101,0.482020,0.430303,0.416970,0.465051,0.468889,0.464848,0.437778,0.532929,0.452323,0.464040,0.457374,0.452323,0.523434,0.516768,0.448687,0.521010,0.520000,0.403434,0.205455,0.498586,0.554949,0.470909,0.465051,0.489293,0.491313,0.494141,0.457980,0.450101,0.531717,0.447677,0.474747,0.461818,0.493535,0.461010,0.430909,0.446667,0.528687,0.471919
gpt-5.2-none,0.422828,0.468889,0.546263,0.548485,0.496970,0.468889,0.500606,0.543434,0.477576,0.494545,0.538586,0.545051,0.411313,0.467879,0.522424,0.571111,0.510101,0.407879,0.416162,0.461616,0.583434,0.454141,0.425859,0.575152,0.502828,0.531717,0.553737,0.438788,0.471515,0.520404,0.210303,0.442626,0.417778,0.474949,0.509899,0.543030,0.457980,0.498384,0.429091,0.533939,0.476970,0.507475,0.454343,0.469899,0.504848,0.495354,0.475556,0.494747,0.436162,0.476364
