Model,Mean,Std
gpt-5-nano-t1-1,0.503020,0.056343
gpt-5-nano-t1-2,0.505551,0.039880
gpt-5-mini-t1-1,0.512408,0.053535
gpt-5-mini-t1-2,0.516653,0.047024
gpt-5.2-t1-1,0.453878,0.031791
gpt-5.2-t1-2,0.464898,0.052106
gpt-5.2-t0,0.000000,0.000000
