Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.142857,-0.168980,-0.167347,0.067755,0.131429,0.054694,-0.100408,-0.026939,0.088980,-0.082449
gpt-5-nano-t1-2,-0.137959,-0.054694,-0.134694,0.028571,0.110204,0.048163,0.048163,-0.048163,0.061224,-0.031837
gpt-5-mini-t1-1,0.129796,-0.040000,-0.188571,-0.031837,-0.077551,-0.131429,-0.036735,0.102041,0.136327,-0.110204
gpt-5-mini-t1-2,0.123265,-0.054694,-0.113469,0.079184,0.000816,-0.095510,-0.087347,-0.025306,0.046531,-0.206531
gpt-5.2-t1-1,0.066122,0.071020,-0.061224,0.149388,0.064490,0.088980,0.183673,0.106939,0.106939,0.146122
gpt-5.2-t1-2,0.307755,0.036735,0.105306,0.012245,-0.008980,0.159184,0.129796,0.044898,-0.079184,-0.005714
gpt-5.2-t0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
