Model,Mean Kendall-Tau Distance,Std Kendall-Tau Distance
gpt-5-nano-none,0.483758,0.059859
gpt-5-nano-low,0.504501,0.067064
gpt-5-mini-none,0.460061,0.100657
gpt-5-mini-low,0.476085,0.092169
gpt-5.2-none,0.000000,0.000000
