Model,Mean Kendall Tau-b,Std Kendall Tau-b
gpt-5-nano-none,0.073535,0.119370
gpt-5-nano-low,1.000000,0.000000
gpt-5-mini-none,0.058675,0.119122
gpt-5-mini-low,0.048428,0.118785
gpt-5.2-none,-0.009002,0.134128
