Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,0.060606,0.103434,-0.050505,-0.055354,-0.041212,0.103838,0.053737,0.202424,0.035960,-0.002828,0.021818,-0.126465,0.191111,0.090505,0.073535,0.025455,-0.084040,-0.069495,0.138990,-0.021010,0.069899,-0.091717,0.088081,0.105051,0.027071,0.071111,-0.071919,-0.073131,0.084848,0.000000,0.663434,0.052525,-0.051717,-0.085253,0.082828,0.092121,0.134545,0.145051,0.027071,0.109495,-0.097778,0.134141,-0.041616,0.044444,0.000808,0.159596,0.021010,0.112727,-0.002828,0.031111
gpt-5-nano-low,-0.022222,-0.064646,0.118384,0.017374,0.172121,0.017374,0.100606,0.143030,0.103838,-0.025051,0.075556,0.081212,0.051313,0.056566,-0.002020,0.143838,0.123636,0.167273,0.075556,0.152323,0.062626,0.175758,0.053737,-0.058586,0.045253,0.053737,0.020606,0.005657,0.019394,-0.284444,0.599596,-0.029899,0.047677,-0.107475,0.078788,0.032323,0.260202,0.172929,-0.024242,-0.033939,-0.006061,0.141414,0.023838,0.083636,-0.123636,0.044040,0.046465,0.059798,-0.046869,0.135354
gpt-5-mini-none,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5-mini-low,0.096162,0.143838,0.028283,0.018182,-0.185455,0.103838,0.040000,0.371313,0.086869,0.107879,-0.069091,-0.016566,0.111111,0.018586,-0.045253,0.240404,0.078788,0.073131,0.225051,0.138990,0.143030,0.014545,0.634343,-0.013333,0.113131,0.099394,0.105455,0.016162,0.237576,0.124848,0.612121,-0.063030,-0.007677,0.063838,0.187879,-0.040404,0.158788,0.069899,0.041212,0.117576,-0.027475,-0.015354,0.129697,0.079192,0.520808,0.132929,0.073939,0.121212,0.289293,0.595960
gpt-5.2-none,-0.032727,0.041616,-0.132121,0.004848,0.127677,-0.042828,0.179798,0.041616,0.066667,-0.066667,-0.058990,0.052121,0.004444,-0.022626,0.117172,0.131717,-0.073939,-0.047273,0.193939,0.157172,-0.082828,0.011717,0.704646,0.008485,-0.023434,-0.094545,0.031919,0.008485,0.134949,0.470303,0.615354,-0.009293,-0.058990,-0.064646,-0.212929,0.004040,0.067071,0.018586,-0.099798,-0.006465,0.166061,0.027475,0.117980,0.047677,0.629091,0.001212,0.014545,0.037980,0.198788,0.688889
