Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,0.469697,0.448283,0.525253,0.527677,0.520606,0.448081,0.473131,0.398788,0.482020,0.501414,0.489091,0.563232,0.404444,0.454747,0.463232,0.487273,0.542020,0.534747,0.430505,0.510505,0.465051,0.545859,0.455960,0.447475,0.486465,0.464444,0.535960,0.536566,0.457576,0.500000,0.168283,0.473737,0.525859,0.542626,0.458586,0.453939,0.432727,0.427475,0.486465,0.445253,0.548889,0.432929,0.520808,0.477778,0.499596,0.420202,0.489495,0.443636,0.501414,0.484444
gpt-5-nano-low,0.511111,0.532323,0.440808,0.491313,0.413939,0.491313,0.449697,0.428485,0.448081,0.512525,0.462222,0.459394,0.474343,0.471717,0.501010,0.428081,0.438182,0.416364,0.462222,0.423838,0.468687,0.412121,0.473131,0.529293,0.477374,0.473131,0.489697,0.497172,0.490303,0.642222,0.200202,0.514949,0.476162,0.553737,0.460606,0.483838,0.369899,0.413535,0.512121,0.516970,0.503030,0.429293,0.488081,0.458182,0.561818,0.477980,0.476768,0.470101,0.523434,0.432323
gpt-5-mini-none,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5-mini-low,0.451919,0.428081,0.485859,0.490909,0.592727,0.448081,0.480000,0.314343,0.456566,0.446061,0.534545,0.508283,0.444444,0.490707,0.522626,0.379798,0.460606,0.463434,0.387475,0.430505,0.428485,0.492727,0.182828,0.506667,0.443434,0.450303,0.447273,0.491919,0.381212,0.437576,0.193939,0.531515,0.503838,0.468081,0.406061,0.520202,0.420606,0.465051,0.479394,0.441212,0.513737,0.507677,0.435152,0.460404,0.239596,0.433535,0.463030,0.439394,0.355354,0.202020
gpt-5.2-none,0.516364,0.479192,0.566061,0.497576,0.436162,0.521414,0.410101,0.479192,0.466667,0.533333,0.529495,0.473939,0.497778,0.511313,0.441414,0.434141,0.536970,0.523636,0.403030,0.421414,0.541414,0.494141,0.147677,0.495758,0.511717,0.547273,0.484040,0.495758,0.432525,0.264848,0.192323,0.504646,0.529495,0.532323,0.606465,0.497980,0.466465,0.490707,0.549899,0.503232,0.416970,0.486263,0.441010,0.476162,0.185455,0.499394,0.492727,0.481010,0.400606,0.155556
