Model,Mean Kendall Tau-b,Std Kendall Tau-b
gpt-5-nano-none,0.047830,0.119051
gpt-5-nano-low,0.058675,0.119122
gpt-5-mini-none,1.000000,0.000000
gpt-5-mini-low,0.121632,0.168581
gpt-5.2-none,0.079879,0.201313
