Model,Mean Kendall-Tau Distance,Std Kendall-Tau Distance
gpt-5-nano-none,0.476085,0.059525
gpt-5-nano-low,0.470663,0.059561
gpt-5-mini-none,0.000000,0.000000
gpt-5-mini-low,0.439184,0.084290
gpt-5.2-none,0.460061,0.100657
