Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.524898,0.559184,0.544490,0.491429,0.475918,0.577143,0.497959,0.442449,0.459592,0.525714
gpt-5-nano-t1-2,0.444898,0.444898,0.493878,0.581224,0.537143,0.472653,0.524898,0.451429,0.478367,0.485714
gpt-5-mini-t1-1,0.506939,0.483265,0.426122,0.531429,0.377959,0.616327,0.640816,0.475918,0.403265,0.521633
gpt-5-mini-t1-2,0.415510,0.485714,0.409796,0.456327,0.433469,0.551020,0.470204,0.536327,0.426939,0.522449
gpt-5.2-t1-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5.2-t1-2,0.493061,0.475918,0.455510,0.483265,0.374694,0.389388,0.417143,0.486531,0.483265,0.467755
gpt-5.2-t0,0.466939,0.464490,0.530612,0.425306,0.467755,0.455510,0.408163,0.446531,0.446531,0.426939
