Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,-0.049796,-0.118367,-0.088980,0.017143,0.048163,-0.154286,0.004082,0.115102,0.080816,-0.051429
gpt-5-nano-t1-2,0.110204,0.110204,0.012245,-0.162449,-0.074286,0.054694,-0.049796,0.097143,0.043265,0.028571
gpt-5-mini-t1-1,-0.013878,0.033469,0.147755,-0.062857,0.244082,-0.232653,-0.281633,0.048163,0.193469,-0.043265
gpt-5-mini-t1-2,0.168980,0.028571,0.180408,0.087347,0.133061,-0.102041,0.059592,-0.072653,0.146122,-0.044898
gpt-5.2-t1-1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5.2-t1-2,0.013878,0.048163,0.088980,0.033469,0.250612,0.221224,0.165714,0.026939,0.033469,0.064490
gpt-5.2-t0,0.066122,0.071020,-0.061224,0.149388,0.064490,0.088980,0.183673,0.106939,0.106939,0.146122
