Model,Mean,Std
gpt-5-nano-t1-1,0.509878,0.041643
gpt-5-nano-t1-2,0.491510,0.042149
gpt-5-mini-t1-1,0.498367,0.080875
gpt-5-mini-t1-2,0.470776,0.048913
gpt-5.2-t1-1,0.000000,0.000000
gpt-5.2-t1-2,0.452653,0.040955
gpt-5.2-t0,0.453878,0.031791
