Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,0.154343,0.062222,-0.092525,-0.096970,0.006061,0.062222,-0.001212,-0.086869,0.044848,0.010909,-0.077172,-0.090101,0.177374,0.064242,-0.044848,-0.142222,-0.020202,0.184242,0.167677,0.076768,-0.166869,0.091717,0.148283,-0.150303,-0.005657,-0.063434,-0.107475,0.122424,0.056970,-0.040808,0.579394,0.114747,0.164444,0.050101,-0.019798,-0.086061,0.084040,0.003232,0.141818,-0.067879,0.046061,-0.014949,0.091313,0.060202,-0.009697,0.009293,0.048889,0.010505,0.127677,0.047273
gpt-5-nano-low,0.042424,-0.109899,-0.097374,-0.082424,0.090101,-0.105859,0.042424,-0.088081,-0.031111,0.004040,-0.140606,-0.018990,0.141010,-0.124848,-0.182626,0.125657,-0.088889,-0.035556,0.084040,0.082020,0.015758,0.085253,0.015354,0.144242,-0.019798,-0.193131,-0.225051,-0.096970,-0.047273,-0.347879,0.589899,-0.063838,-0.019798,0.036768,-0.052121,0.073939,-0.042424,-0.035152,0.026667,0.074747,-0.010909,-0.050505,0.117172,0.161616,-0.079192,-0.044848,-0.126061,0.106263,-0.062626,0.114343
gpt-5-mini-none,-0.032727,0.041616,-0.132121,0.004848,0.127677,-0.042828,0.179798,0.041616,0.066667,-0.066667,-0.058990,0.052121,0.004444,-0.022626,0.117172,0.131717,-0.073939,-0.047273,0.193939,0.157172,-0.082828,0.011717,0.704646,0.008485,-0.023434,-0.094545,0.031919,0.008485,0.134949,0.470303,0.615354,-0.009293,-0.058990,-0.064646,-0.212929,0.004040,0.067071,0.018586,-0.099798,-0.006465,0.166061,0.027475,0.117980,0.047677,0.629091,0.001212,0.014545,0.037980,0.198788,0.688889
gpt-5-mini-low,0.015354,0.046061,0.064646,-0.020202,0.050909,-0.011313,0.076364,0.077172,-0.006869,-0.082020,0.033939,-0.141010,0.044848,-0.051313,-0.015758,0.020202,-0.131313,0.055354,0.019394,0.155152,0.022626,0.110707,0.661414,-0.039192,-0.116768,-0.081212,-0.133737,-0.025859,0.122424,0.183434,0.541010,-0.020202,-0.022626,0.167677,-0.170101,-0.013333,-0.025859,0.037172,-0.042020,-0.077576,-0.094545,0.089293,0.022626,-0.220202,0.615354,-0.010101,-0.083232,0.076364,0.136970,0.581414
gpt-5.2-none,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
