Model,Mean,Std
gpt-5-nano-t1-1,-0.019755,0.083285
gpt-5-nano-t1-2,0.016980,0.084298
gpt-5-mini-t1-1,0.003265,0.161750
gpt-5-mini-t1-2,0.058449,0.097826
gpt-5.2-t1-1,1.000000,0.000000
gpt-5.2-t1-2,0.094694,0.081911
gpt-5.2-t0,0.092245,0.063581
