Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,0.153939,0.040000,0.088081,-0.078788,0.094545,0.081212,0.190303,0.264646,0.068283,-0.020606,0.036364,0.099798,0.035960,0.139394,0.166061,0.069899,0.062222,0.070303,0.124444,-0.065859,0.095354,0.071919,0.085253,0.095354,-0.046869,-0.033535,0.102626,-0.042020,-0.040000,0.193131,0.589091,0.002828,-0.109899,0.058182,0.069899,0.021414,0.017374,0.011717,0.084040,0.099798,-0.063434,0.104646,0.050505,0.076364,0.012929,0.077980,0.138182,0.106667,-0.057374,0.056162
gpt-5-nano-low,-0.033131,0.126465,0.054949,-0.004444,0.071919,0.219394,0.122424,-0.011313,0.104646,-0.048485,0.119192,0.110303,0.177374,0.226667,-0.022626,0.027475,0.057374,0.185051,0.019798,0.028283,0.049293,0.090505,0.067071,0.003636,-0.083636,0.040404,0.132929,-0.069899,0.044040,-0.136566,0.564848,-0.079596,0.148687,-0.040000,0.023030,0.008485,0.092929,-0.007273,0.019798,0.112323,-0.162424,0.105455,0.170909,-0.102626,-0.175354,0.128081,0.031919,0.025455,-0.078788,-0.033535
gpt-5-mini-none,0.096162,0.143838,0.028283,0.018182,-0.185455,0.103838,0.040000,0.371313,0.086869,0.107879,-0.069091,-0.016566,0.111111,0.018586,-0.045253,0.240404,0.078788,0.073131,0.225051,0.138990,0.143030,0.014545,0.634343,-0.013333,0.113131,0.099394,0.105455,0.016162,0.237576,0.124848,0.612121,-0.063030,-0.007677,0.063838,0.187879,-0.040404,0.158788,0.069899,0.041212,0.117576,-0.027475,-0.015354,0.129697,0.079192,0.520808,0.132929,0.073939,0.121212,0.289293,0.595960
gpt-5-mini-low,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5.2-none,0.015354,0.046061,0.064646,-0.020202,0.050909,-0.011313,0.076364,0.077172,-0.006869,-0.082020,0.033939,-0.141010,0.044848,-0.051313,-0.015758,0.020202,-0.131313,0.055354,0.019394,0.155152,0.022626,0.110707,0.661414,-0.039192,-0.116768,-0.081212,-0.133737,-0.025859,0.122424,0.183434,0.541010,-0.020202,-0.022626,0.167677,-0.170101,-0.013333,-0.025859,0.037172,-0.042020,-0.077576,-0.094545,0.089293,0.022626,-0.220202,0.615354,-0.010101,-0.083232,0.076364,0.136970,0.581414
