Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0003,0.0000,0.0000,0.0061,97.5000,97.5000,100.0000,100.0000
GPT**,0.0034,0.0103,0.0110,0.0262,42.5000,75.0000,100.0000,100.0000
GPT**+Rank,0.0008,0.0003,0.0102,0.0105,70.0000,92.5000,100.0000,100.0000
GPT**+Pers,0.0010,0.0013,0.0101,0.0101,70.0000,90.0000,100.0000,100.0000
GPT***,0.0043,0.0211,0.0303,0.0366,62.5000,82.5000,100.0000,100.0000
Random Insertion,0.0068,0.0201,0.0404,0.0526,60.0000,67.5000,97.5000,100.0000
Random,0.0082,0.0200,0.0400,0.1200,72.4000,72.4000,95.5000,98.8000
