Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0004,0.0000,0.0000,0.0100,96.9828,96.9828,100.0000,100.0000
GPT**,0.0131,0.0300,0.0505,0.0900,40.4167,40.4167,93.7500,99.5833
GPT**+Rank,0.0053,0.0200,0.0300,0.0500,70.4167,70.4167,97.9167,100.0000
GPT**+Pers,0.0055,0.0200,0.0200,0.0500,67.0833,67.0833,97.5000,100.0000
GPT***,0.0101,0.0300,0.0400,0.0761,50.8333,50.8333,95.8333,100.0000
Random Insertion,0.0198,0.0500,0.1200,0.2761,60.4167,60.4167,89.1667,94.5833
Random,0.0184,0.0500,0.1400,0.2500,69.8966,69.8966,89.8448,93.5345
