Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0000,0.0000,0.0000,0.0000,100.0000,100.0000,100.0000,100.0000
GPT**,0.0108,0.0210,0.0300,0.0544,42.5000,42.5000,97.5000,100.0000
GPT**+Rank,0.0053,0.0110,0.0200,0.0383,65.0000,65.0000,97.5000,100.0000
GPT**+Pers,0.0060,0.0200,0.0205,0.0422,62.5000,62.5000,97.5000,100.0000
GPT***,0.0093,0.0200,0.0310,0.0500,50.0000,50.0000,95.0000,100.0000
Random Insertion,0.0100,0.0310,0.0515,0.0861,65.0000,65.0000,92.5000,100.0000
Random,0.0108,0.0300,0.0600,0.1700,71.4000,71.4000,92.6000,97.1000
