Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0008,0.0000,0.0005,0.0161,95.0000,95.0000,100.0000,100.0000
GPT**,0.0055,0.0100,0.0200,0.0322,57.5000,57.5000,100.0000,100.0000
GPT**+Rank,0.0030,0.0100,0.0100,0.0222,75.0000,75.0000,100.0000,100.0000
GPT**+Pers,0.0030,0.0100,0.0100,0.0222,75.0000,75.0000,100.0000,100.0000
GPT***,0.0103,0.0200,0.0305,0.0400,37.5000,37.5000,100.0000,100.0000
Random Insertion,0.0700,0.2520,0.2815,0.3161,50.0000,50.0000,65.0000,70.0000
Random,0.0609,0.2300,0.2600,0.3101,58.1000,58.1000,68.9000,72.9000
