Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0014,0.0000,0.0100,0.0230,91.6667,91.6667,100.0000,100.0000
GPT**,0.0238,0.0600,0.0710,0.1327,27.5000,27.5000,82.5000,97.5000
GPT**+Rank,0.0095,0.0320,0.0500,0.0561,67.5000,67.5000,90.0000,100.0000
GPT**+Pers,0.0105,0.0320,0.0500,0.0500,52.5000,52.5000,90.0000,100.0000
GPT***,0.0200,0.0610,0.0800,0.0800,40.0000,40.0000,82.5000,100.0000
Random Insertion,0.0110,0.0410,0.0600,0.0600,60.0000,60.0000,90.0000,100.0000
Random,0.0072,0.0200,0.0400,0.0801,73.7778,73.7778,95.8889,99.2222
