Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0000,0.0000,0.0000,0.0000,100.0000,100.0000,100.0000,100.0000
GPT**,0.0168,0.0410,0.0510,0.0822,27.5000,27.5000,90.0000,100.0000
GPT**+Rank,0.0080,0.0210,0.0305,0.0400,60.0000,60.0000,100.0000,100.0000
GPT**+Pers,0.0058,0.0200,0.0200,0.0322,62.5000,62.5000,100.0000,100.0000
GPT***,0.0085,0.0200,0.0300,0.0361,50.0000,50.0000,100.0000,100.0000
Random Insertion,0.0073,0.0200,0.0300,0.0300,55.0000,55.0000,100.0000,100.0000
Random,0.0108,0.0300,0.0600,0.1801,72.6667,72.6667,94.2222,97.0000
