Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0003,0.0000,0.0000,0.0061,97.5000,97.5000,100.0000,100.0000
GPT**,0.0128,0.0300,0.0605,0.0822,45.0000,45.0000,92.5000,100.0000
GPT**+Rank,0.0025,0.0100,0.0200,0.0261,85.0000,85.0000,100.0000,100.0000
GPT**+Pers,0.0040,0.0100,0.0200,0.0505,80.0000,80.0000,97.5000,100.0000
GPT***,0.0045,0.0100,0.0200,0.0261,65.0000,65.0000,100.0000,100.0000
Random Insertion,0.0100,0.0200,0.0330,0.1449,72.5000,72.5000,95.0000,97.5000
Random,0.0103,0.0300,0.0600,0.1401,71.7000,71.7000,93.0000,97.1000
