Method,Mean,P90,P95,P99,% Zero,% <0.01,% <0.05,% <0.1
VBC,0.0005,0.0000,0.0000,0.0100,96.4286,96.4286,100.0000,100.0000
GPT**,0.0136,0.0311,0.0605,0.1582,36.6667,63.3333,91.6667,97.5000
GPT**+Rank,0.0050,0.0102,0.0203,0.1005,77.5000,85.8333,97.5000,98.3333
GPT**+Pers,0.0025,0.0101,0.0103,0.0526,72.5000,86.6667,98.3333,100.0000
GPT***,0.0176,0.0301,0.1010,0.3648,54.1667,78.3333,91.6667,94.1667
Random Insertion,0.0141,0.0214,0.0517,0.3196,68.3333,82.5000,94.1667,95.8333
Random,0.0095,0.0300,0.0500,0.1401,72.6786,72.6786,94.3214,97.7500
