Model,Mean,Std
gpt-5-nano-t1-1,0.438612,0.066630
gpt-5-nano-t1-2,0.471020,0.027743
gpt-5-mini-t1-1,0.000000,0.000000
gpt-5-mini-t1-2,0.445224,0.038473
gpt-5.2-t1-1,0.498367,0.080875
gpt-5.2-t1-2,0.516082,0.049289
gpt-5.2-t0,0.512408,0.053535
