Model,Mean,Std
gpt-5-nano-t1-1,0.122776,0.133261
gpt-5-nano-t1-2,0.057959,0.055486
gpt-5-mini-t1-1,1.000000,0.000000
gpt-5-mini-t1-2,0.109551,0.076947
gpt-5.2-t1-1,0.003265,0.161750
gpt-5.2-t1-2,-0.032163,0.098577
gpt-5.2-t0,-0.024816,0.107070
