Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.444082,0.407347,0.405714,0.572245,0.393469,0.413061,0.477551,0.387755,0.536327,0.348571
gpt-5-nano-t1-2,0.506122,0.484082,0.469388,0.524898,0.484082,0.448980,0.452245,0.439184,0.434286,0.466939
gpt-5-mini-t1-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5-mini-t1-2,0.462041,0.425306,0.462041,0.453878,0.393469,0.432653,0.539592,0.448980,0.431837,0.402449
gpt-5.2-t1-1,0.506939,0.483265,0.426122,0.531429,0.377959,0.616327,0.640816,0.475918,0.403265,0.521633
gpt-5.2-t1-2,0.508571,0.495510,0.497959,0.617959,0.432653,0.574694,0.468571,0.529796,0.506122,0.528980
gpt-5.2-t0,0.435102,0.520000,0.594286,0.515918,0.538776,0.565714,0.518367,0.448980,0.431837,0.555102
