Model,Mean,Std
gpt-5-nano-t1-1,1.000000,0.000000
gpt-5-nano-t1-2,0.054857,0.143046
gpt-5-mini-t1-1,0.122776,0.133261
gpt-5-mini-t1-2,0.012735,0.103719
gpt-5.2-t1-1,-0.019755,0.083285
gpt-5.2-t1-2,0.067592,0.065715
gpt-5.2-t0,-0.006041,0.112686
