Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.012245,0.164082,0.123265,0.088980,-0.005714,-0.005714,0.159184,0.007347,0.113469,0.018776
gpt-5-nano-t1-2,-0.033469,-0.110204,-0.079184,0.017143,0.012245,0.170612,0.043265,-0.108571,-0.064490,-0.054694
gpt-5-mini-t1-1,-0.017143,0.008980,0.004082,-0.235918,0.134694,-0.149388,0.062857,-0.059592,-0.012245,-0.057959
gpt-5-mini-t1-2,0.084082,-0.071020,-0.048163,-0.062857,0.010612,-0.044898,-0.147755,-0.098776,0.273469,-0.102041
gpt-5.2-t1-1,0.013878,0.048163,0.088980,0.033469,0.250612,0.221224,0.165714,0.026939,0.033469,0.064490
gpt-5.2-t1-2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5.2-t0,0.307755,0.036735,0.105306,0.012245,-0.008980,0.159184,0.129796,0.044898,-0.079184,-0.005714
