Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.493878,0.417959,0.438367,0.455510,0.502857,0.502857,0.420408,0.496327,0.443265,0.490612
gpt-5-nano-t1-2,0.516735,0.555102,0.539592,0.491429,0.493878,0.414694,0.478367,0.554286,0.532245,0.527347
gpt-5-mini-t1-1,0.508571,0.495510,0.497959,0.617959,0.432653,0.574694,0.468571,0.529796,0.506122,0.528980
gpt-5-mini-t1-2,0.457959,0.535510,0.524082,0.531429,0.494694,0.522449,0.573878,0.549388,0.363265,0.551020
gpt-5.2-t1-1,0.493061,0.475918,0.455510,0.483265,0.374694,0.389388,0.417143,0.486531,0.483265,0.467755
gpt-5.2-t1-2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5.2-t0,0.346122,0.481633,0.447347,0.493878,0.504490,0.420408,0.435102,0.477551,0.539592,0.502857
