Model,Mean,Std
gpt-5-nano-t1-1,0.466204,0.032857
gpt-5-nano-t1-2,0.510367,0.040496
gpt-5-mini-t1-1,0.516082,0.049289
gpt-5-mini-t1-2,0.510367,0.057663
gpt-5.2-t1-1,0.452653,0.040955
gpt-5.2-t1-2,0.000000,0.000000
gpt-5.2-t0,0.464898,0.052106
