Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9,Persona_10,Persona_11,Persona_12,Persona_13,Persona_14,Persona_15,Persona_16,Persona_17,Persona_18,Persona_19,Persona_20,Persona_21,Persona_22,Persona_23,Persona_24,Persona_25,Persona_26,Persona_27,Persona_28,Persona_29,Persona_30,Persona_31,Persona_32,Persona_33,Persona_34,Persona_35,Persona_36,Persona_37,Persona_38,Persona_39,Persona_40,Persona_41,Persona_42,Persona_43,Persona_44,Persona_45,Persona_46,Persona_47,Persona_48,Persona_49
gpt-5-nano-none,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5-nano-low,-0.029899,0.076364,0.007677,0.068283,0.079596,0.055354,0.206465,-0.053333,0.160404,0.014545,0.172929,-0.006869,0.183838,0.006869,-0.064646,-0.041212,0.090101,0.061818,0.168889,0.023434,0.170909,-0.029495,0.122020,-0.092929,0.056566,0.016162,0.170505,0.063838,0.212121,0.014949,0.665455,0.001212,-0.009293,0.032323,0.149899,0.069091,0.105051,-0.004040,0.024242,0.314343,-0.074343,0.088485,0.102222,0.102626,0.091717,0.132929,-0.008081,0.016162,0.027475,-0.035960
gpt-5-mini-none,0.060606,0.103434,-0.050505,-0.055354,-0.041212,0.103838,0.053737,0.202424,0.035960,-0.002828,0.021818,-0.126465,0.191111,0.090505,0.073535,0.025455,-0.084040,-0.069495,0.138990,-0.021010,0.069899,-0.091717,0.088081,0.105051,0.027071,0.071111,-0.071919,-0.073131,0.084848,0.000000,0.663434,0.052525,-0.051717,-0.085253,0.082828,0.092121,0.134545,0.145051,0.027071,0.109495,-0.097778,0.134141,-0.041616,0.044444,0.000808,0.159596,0.021010,0.112727,-0.002828,0.031111
gpt-5-mini-low,0.153939,0.040000,0.088081,-0.078788,0.094545,0.081212,0.190303,0.264646,0.068283,-0.020606,0.036364,0.099798,0.035960,0.139394,0.166061,0.069899,0.062222,0.070303,0.124444,-0.065859,0.095354,0.071919,0.085253,0.095354,-0.046869,-0.033535,0.102626,-0.042020,-0.040000,0.193131,0.589091,0.002828,-0.109899,0.058182,0.069899,0.021414,0.017374,0.011717,0.084040,0.099798,-0.063434,0.104646,0.050505,0.076364,0.012929,0.077980,0.138182,0.106667,-0.057374,0.056162
gpt-5.2-none,0.154343,0.062222,-0.092525,-0.096970,0.006061,0.062222,-0.001212,-0.086869,0.044848,0.010909,-0.077172,-0.090101,0.177374,0.064242,-0.044848,-0.142222,-0.020202,0.184242,0.167677,0.076768,-0.166869,0.091717,0.148283,-0.150303,-0.005657,-0.063434,-0.107475,0.122424,0.056970,-0.040808,0.579394,0.114747,0.164444,0.050101,-0.019798,-0.086061,0.084040,0.003232,0.141818,-0.067879,0.046061,-0.014949,0.091313,0.060202,-0.009697,0.009293,0.048889,0.010505,0.127677,0.047273
