Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
gpt-5-nano-t1-2,-0.227755,-0.110204,0.095510,-0.084082,0.120000,0.118367,0.165714,0.283265,0.113469,0.074286
gpt-5-mini-t1-1,0.111837,0.185306,0.188571,-0.144490,0.213061,0.173878,0.044898,0.224490,-0.072653,0.302857
gpt-5-mini-t1-2,-0.074286,0.098776,-0.115102,-0.121633,0.154286,0.196735,-0.044898,0.031837,-0.012245,0.013878
gpt-5.2-t1-1,-0.049796,-0.118367,-0.088980,0.017143,0.048163,-0.154286,0.004082,0.115102,0.080816,-0.051429
gpt-5.2-t1-2,0.012245,0.164082,0.123265,0.088980,-0.005714,-0.005714,0.159184,0.007347,0.113469,0.018776
gpt-5.2-t0,0.142857,-0.168980,-0.167347,0.067755,0.131429,0.054694,-0.100408,-0.026939,0.088980,-0.082449
