Model,Persona_0,Persona_1,Persona_2,Persona_3,Persona_4,Persona_5,Persona_6,Persona_7,Persona_8,Persona_9
gpt-5-nano-t1-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gpt-5-nano-t1-2,0.613878,0.555102,0.452245,0.542041,0.440000,0.440816,0.417143,0.358367,0.443265,0.462857
gpt-5-mini-t1-1,0.444082,0.407347,0.405714,0.572245,0.393469,0.413061,0.477551,0.387755,0.536327,0.348571
gpt-5-mini-t1-2,0.537143,0.450612,0.557551,0.560816,0.422857,0.401633,0.522449,0.484082,0.506122,0.493061
gpt-5.2-t1-1,0.524898,0.559184,0.544490,0.491429,0.475918,0.577143,0.497959,0.442449,0.459592,0.525714
gpt-5.2-t1-2,0.493878,0.417959,0.438367,0.455510,0.502857,0.502857,0.420408,0.496327,0.443265,0.490612
gpt-5.2-t0,0.428571,0.584490,0.583673,0.466122,0.434286,0.472653,0.550204,0.513469,0.455510,0.541224
