Model,Mean,Std
gpt-5-nano-t1-1,0.493633,0.051860
gpt-5-nano-t1-2,0.495673,0.048633
gpt-5-mini-t1-1,0.445224,0.038473
gpt-5-mini-t1-2,0.000000,0.000000
gpt-5.2-t1-1,0.470776,0.048913
gpt-5.2-t1-2,0.510367,0.057663
gpt-5.2-t0,0.516653,0.047024
