Model,Mean,Std
gpt-5-nano-t1-1,0.012735,0.103719
gpt-5-nano-t1-2,0.008653,0.097265
gpt-5-mini-t1-1,0.109551,0.076947
gpt-5-mini-t1-2,1.000000,0.000000
gpt-5.2-t1-1,0.058449,0.097826
gpt-5.2-t1-2,-0.020735,0.115325
gpt-5.2-t0,-0.033306,0.094048
