Model,Mean,Std
gpt-5-nano-t1-1,0.472571,0.071523
gpt-5-nano-t1-2,0.000000,0.000000
gpt-5-mini-t1-1,0.471020,0.027743
gpt-5-mini-t1-2,0.495673,0.048633
gpt-5.2-t1-1,0.491510,0.042149
gpt-5.2-t1-2,0.510367,0.040496
gpt-5.2-t0,0.505551,0.039880
